system:index,date,salinity_psu,sea_surface_elevation_m,sst_c,surface_pressure_c1,surface_pressure_c2,temperature_2m_c1,temperature_2m_c2,total_evaporation_c1,total_evaporation_c2,total_precipitation_c1,total_precipitation_c2,wind_u_c1,wind_u_c2,wind_v_c1,wind_v_c2,.geo
0,1995-01,36.42243372056841,-0.25029098381910586,24.81012115478518,101539.88586030786,101539.88586030786,296.9082255009686,296.9082255009686,-0.022397045069054298,-0.022397045069054298,0.02168612699628255,0.02168612699628255,-2.2576442058905246,-2.2576442058905246,-0.9492078681902685,-0.9492078681902685,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1995-02,36.53231794039964,-0.31192228410656886,24.000032043457054,101618.97336921057,101618.97336921057,297.2462791419825,297.2462791419825,-0.006523748094759885,-0.006523748094759885,0.002580784299528895,0.002580784299528895,-2.391444993638157,-2.391444993638157,-1.063507204300207,-1.063507204300207,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1995-03,36.576251063167724,-0.27370127580126546,24.78283843994143,101277.69251346441,101277.69251346441,298.5900049593729,298.5900049593729,-0.030005703048728724,-0.030005703048728724,0.03511679479757823,0.03511679479757823,-2.3330335863279625,-2.3330335863279625,-0.7552696157599024,-0.7552696157599024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1995-04,36.48155393890676,-0.20104225616291535,26.85467681884768,100916.08454768255,100916.08454768255,301.4318193131249,301.4318193131249,-0.018925643197643616,-0.018925643197643616,0.013751010681261656,0.013751010681261656,-2.735242824209001,-2.735242824209001,-0.28468993358577316,-0.28468993358577316,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1995-05,36.52893152940567,-0.2214448319676382,28.08094940185549,100936.52700665056,100936.52700665056,303.6407387682278,303.6407387682278,-0.005569415159100963,-0.005569415159100963,0.0034150090931693747,0.0034150090931693747,-3.209003672970126,-3.209003672970126,0.0925748808702603,0.0925748808702603,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1995-06,36.47245058949625,-0.30825360396570206,28.270417785644554,101057.2465569896,101057.2465569896,301.98036337288886,301.98036337288886,-0.0537204563010165,-0.0537204563010165,0.06954868466814704,0.06954868466814704,-2.678076410245529,-2.678076410245529,-0.7571906024287817,-0.7571906024287817,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1995-07,36.39184870604709,-0.2875003371019604,27.89853820800784,101289.77791023528,101289.77791023528,301.62135983868257,301.62135983868257,-0.07236269269894391,-0.07236269269894391,0.07158986697680442,0.07158986697680442,-2.623651451599862,-2.623651451599862,-0.709479083652407,-0.709479083652407,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1995-08,36.260026838502235,-0.1983766466134219,28.496919250488304,101019.11137674087,101019.11137674087,301.1354399216666,301.1354399216666,-0.10035959471905466,-0.10035959471905466,0.12477394606387583,0.12477394606387583,-2.4165436661472257,-2.4165436661472257,-0.35791937269791624,-0.35791937269791624,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1995-09,36.31636824758843,-0.11045269292604504,29.760423278808616,101068.49965178399,101068.49965178399,300.81513160649456,300.81513160649456,-0.09081315231358927,-0.09081315231358927,0.12538561097755913,0.12538561097755913,-1.5670015127317063,-1.5670015127317063,-0.6189411877125501,-0.6189411877125501,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1995-10,34.91335543512084,0.03777310444974589,27.79352722167971,100830.71635842105,100830.71635842105,299.10954584675574,299.10954584675574,-0.14947130255415564,-0.14947130255415564,0.22579257483808182,0.22579257483808182,-2.015227238737682,-2.015227238737682,0.1462654080676984,0.1462654080676984,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1995-11,35.98925842711683,-0.08864643622722401,27.206933593750023,101529.92251232459,101529.92251232459,298.57067063071696,298.57067063071696,-0.06668555999962679,-0.06668555999962679,0.014744425729927346,0.014744425729927346,-2.6003607366804604,-2.6003607366804604,-1.0919020003765965,-1.0919020003765965,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1995-12,36.31254648117416,-0.19687735971372267,25.432977294921898,101547.55432700571,101547.55432700571,297.23604147554005,297.23604147554005,-0.048285278091787766,-0.048285278091787766,0.05229569185110228,0.05229569185110228,-2.4595792009854947,-2.4595792009854947,-1.1180303384438066,-1.1180303384438066,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1996-01,36.291869593403185,-0.25310094907167313,23.394700622558616,101588.44115155961,101588.44115155961,295.39713076059644,295.39713076059644,-0.04890210092967874,-0.04890210092967874,0.015410386045120992,0.015410386045120992,-2.0025740562220333,-2.0025740562220333,-1.1805975598220335,-1.1805975598220335,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1996-02,36.481088926848884,-0.31643095429490126,23.370835876464866,101555.03249235523,101555.03249235523,296.59948684483385,296.59948684483385,-0.02286076636748094,-0.02286076636748094,0.004809732797783819,0.004809732797783819,-2.765409683676654,-2.765409683676654,-0.9770519128470486,-0.9770519128470486,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1996-03,36.56158902084846,-0.31418469297790685,23.706895446777366,101403.28287650725,101403.28287650725,297.32145776657507,297.32145776657507,-0.02050737901444783,-0.02050737901444783,0.011410203015976578,0.011410203015976578,-2.027946037831803,-2.027946037831803,-0.9762394351438765,-0.9762394351438765,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1996-04,36.485841197749195,-0.2723443060021437,25.021905517578148,101201.37284933627,101201.37284933627,300.1838571877663,300.1838571877663,-0.031288338682406616,-0.031288338682406616,0.02694682181666034,0.02694682181666034,-2.952490961244203,-2.952490961244203,-0.40640260556743335,-0.40640260556743335,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1996-05,36.41000378591433,-0.3508281298620476,26.672418212890644,101213.8372205665,101213.8372205665,301.5653423914888,301.5653423914888,-0.030697989275573354,-0.030697989275573354,0.027049485720064097,0.027049485720064097,-3.456495254483608,-3.456495254483608,-0.6060999422139977,-0.6060999422139977,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1996-06,36.380869346195084,-0.36113794212218653,27.319596862792995,101259.50270991221,101259.50270991221,301.3470724919657,301.3470724919657,-0.06294736171298071,-0.06294736171298071,0.06877796175521717,0.06877796175521717,-2.8986012322035473,-2.8986012322035473,-0.5040240838622767,-0.5040240838622767,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1996-07,36.356356251944824,-0.32898961466652843,27.62230072021487,101364.13802614834,101364.13802614834,301.23055713269144,301.23055713269144,-0.0728128900683894,-0.0728128900683894,0.07259035712157842,0.07259035712157842,-2.6690513681567056,-2.6690513681567056,-0.617810042734756,-0.617810042734756,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1996-08,36.33056679804999,-0.2675625453791101,27.290330505371116,101314.59753861216,101314.59753861216,300.88708718316116,300.88708718316116,-0.06379972032739445,-0.06379972032739445,0.06260487335512578,0.06260487335512578,-3.3127110440117535,-3.3127110440117535,-0.8390861214566931,-0.8390861214566931,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1996-09,36.353458239549845,-0.223374959807074,28.149278259277366,101053.30274582784,101053.30274582784,302.11719627955114,302.11719627955114,-0.028295633727543564,-0.028295633727543564,0.019552206017845485,0.019552206017845485,-2.378692356182737,-2.378692356182737,-0.9067236816620419,-0.9067236816620419,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1996-10,36.26019097986123,-0.05950609240142156,27.844026184082054,101139.82793991211,101139.82793991211,299.9014691488134,299.9014691488134,-0.06331344509110846,-0.06331344509110846,0.06712235428400481,0.06712235428400481,-2.1187914395733523,-2.1187914395733523,-1.2186405824143987,-1.2186405824143987,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1996-11,36.33686810021436,-0.16062612540192925,25.914117431640648,101490.5412429088,101490.5412429088,298.3142260510131,298.3142260510131,-0.019546804159706475,-0.019546804159706475,0.013396179635810438,0.013396179635810438,-3.1490905487809333,-3.1490905487809333,-2.132006615161666,-2.132006615161666,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,1996-12,36.30705278670955,-0.19070601554126473,24.554284667968773,101570.37739500405,101570.37739500405,297.02384850576334,297.02384850576334,-0.019359892132183885,-0.019359892132183885,0.01974653781907099,0.01974653781907099,-2.8767362734188793,-2.8767362734188793,-1.1823441274423634,-1.1823441274423634,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1997-01,36.27407938751168,-0.21191221087024165,23.990815734863304,101605.79595391483,101605.79595391483,296.72665413483537,296.72665413483537,-0.016738404216741474,-0.016738404216741474,0.014636116570856972,0.014636116570856972,-2.1093194975193224,-2.1093194975193224,-0.750995007796849,-0.750995007796849,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,1997-02,36.36620641938447,-0.22946811839687642,24.291574096679714,101499.44236774092,101499.44236774092,298.3442399285009,298.3442399285009,-0.020560620274550898,-0.020560620274550898,0.02040215828147761,0.02040215828147761,-3.2277296261110293,-3.2277296261110293,-0.41445970325028997,-0.41445970325028997,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,1997-03,36.41415084016181,-0.2357625246343741,25.727944946289085,101363.17853624476,101363.17853624476,300.135217767553,300.135217767553,-0.008004371526573338,-0.008004371526573338,0.0055324513226057285,0.0055324513226057285,-2.9485853855006003,-2.9485853855006003,-0.3935182778097088,-0.3935182778097088,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,1997-04,36.438048070739555,-0.217154448017149,26.951196289062526,101025.72280586668,101025.72280586668,300.92245808199357,300.92245808199357,-0.0324296712483023,-0.0324296712483023,0.03822487024489694,0.03822487024489694,-2.163630068880214,-2.163630068880214,-0.19723498976994308,-0.19723498976994308,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,1997-05,36.4418464370916,-0.25433321232237316,27.55097351074221,101189.6285962326,101189.6285962326,301.84170588288276,301.84170588288276,-0.031820742245442034,-0.031820742245442034,0.03205457583091573,0.03205457583091573,-2.990251123968612,-2.990251123968612,-0.414239707279339,-0.414239707279339,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,1997-06,36.49746547427654,-0.3074732984994642,28.161904907226585,101049.22468281689,101049.22468281689,301.7875804669709,301.7875804669709,-0.04451984544614328,-0.04451984544614328,0.08070735954409201,0.08070735954409201,-2.5340229485068604,-2.5340229485068604,-0.5022112614739628,-0.5022112614739628,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,1997-07,36.409696802717555,-0.2988094855305466,27.99798736572268,101388.04523930683,101388.04523930683,301.4545994924081,301.4545994924081,-0.07473221846979848,-0.07473221846979848,0.0453104913057488,0.0453104913057488,-2.9117171072371333,-2.9117171072371333,-1.0433856341441028,-1.0433856341441028,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,1997-08,36.381970944404124,-0.272144616741002,28.294869995117214,101387.13659565082,101387.13659565082,301.4981157602612,301.4981157602612,-0.05935730329902027,-0.05935730329902027,0.054902266981682886,0.054902266981682886,-2.6138070236486257,-2.6138070236486257,-1.151142182044926,-1.151142182044926,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1997-09,36.25648629421222,-0.12956540728831725,28.681184387207054,101112.48549326161,101112.48549326161,300.18551529208855,300.18551529208855,-0.09475939242413983,-0.09475939242413983,0.14710017089804037,0.14710017089804037,-2.0424906715479536,-2.0424906715479536,-0.26561695397527635,-0.26561695397527635,"{""type"":""MultiPoint"",""coordinates"":[]}"
